"game_player_location","game_player_date","game_player_duration","game_player_team","game_player_player","game_player_agent","game_player_tier","game_player_kda","game_player_attackKills","game_player_attackDeaths","game_player_attackAssists","game_player_attackKD","game_player_attackDamage","game_player_defenseKills","game_player_defenseDeaths","game_player_defenseAssists","game_player_defenseKD","game_player_weapon_type","game_player_weapon_name","game_player_weapon_kills","game_player_weapon_damage"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","Fazify","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/sova_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","15 / 18 / 3","9","10","3","0.9","1998","6","8","0","0.8","Assault Rifles","Vandal","4","874"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","Fazify","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/sova_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","15 / 18 / 3","9","10","3","0.9","1998","6","8","0","0.8","Sidearms","Ghost","5","638"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","Fazify","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/sova_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","15 / 18 / 3","9","10","3","0.9","1998","6","8","0","0.8","Assault Rifles","Phantom","2","504"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","Fazify","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/sova_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","15 / 18 / 3","9","10","3","0.9","1998","6","8","0","0.8","Sidearms","Sheriff","1","185"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","Fazify","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/sova_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","15 / 18 / 3","9","10","3","0.9","1998","6","8","0","0.8","Assault Rifles","Bulldog","2","175"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","JuleSound","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/viper_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/11.png","15 / 16 / 3","10","9","2","1.1","2285","5","7","1","0.7","Assault Rifles","Vandal","12","2469"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","JuleSound","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/viper_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/11.png","15 / 16 / 3","10","9","2","1.1","2285","5","7","1","0.7","SMGs","Stinger","1","160"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","JuleSound","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/viper_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/11.png","15 / 16 / 3","10","9","2","1.1","2285","5","7","1","0.7","Sidearms","Ghost","1","140"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","JuleSound","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/viper_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/11.png","15 / 16 / 3","10","9","2","1.1","2285","5","7","1","0.7","SMGs","Spectre","1","132"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","koires","https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","16 / 15 / 5","12","8","3","1.5","2173","4","7","2","0.6","Assault Rifles","Vandal","10","1954"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","koires","https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","16 / 15 / 5","12","8","3","1.5","2173","4","7","2","0.6","Assault Rifles","Phantom","2","334"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","koires","https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","16 / 15 / 5","12","8","3","1.5","2173","4","7","2","0.6","Sidearms","Ghost","2","283"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","koires","https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","16 / 15 / 5","12","8","3","1.5","2173","4","7","2","0.6","Sidearms","Classic","2","274"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","Glizzy","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","13 / 18 / 1","8","10","1","0.8","1442","5","8","0","0.6","Heavy Weapons","Odin","6","446"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","Glizzy","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","13 / 18 / 1","8","10","1","0.8","1442","5","8","0","0.6","Assault Rifles","Vandal","2","400"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","Glizzy","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","13 / 18 / 1","8","10","1","0.8","1442","5","8","0","0.6","SMGs","Spectre","2","294"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","Glizzy","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","13 / 18 / 1","8","10","1","0.8","1442","5","8","0","0.6","Assault Rifles","Phantom","1","204"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","Glizzy","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","13 / 18 / 1","8","10","1","0.8","1442","5","8","0","0.6","Sidearms","Sheriff","1","151"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","Glizzy","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","13 / 18 / 1","8","10","1","0.8","1442","5","8","0","0.6","Sidearms","Ghost","1","144"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","im tired","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/omen_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/10.png","10 / 19 / 4","4","11","3","0.4","947","6","8","1","0.8","Assault Rifles","Vandal","6","1040"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","im tired","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/omen_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/10.png","10 / 19 / 4","4","11","3","0.4","947","6","8","1","0.8","Sidearms","Ghost","2","229"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","im tired","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/omen_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/10.png","10 / 19 / 4","4","11","3","0.4","947","6","8","1","0.8","Assault Rifles","Phantom","1","156"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 2","im tired","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/omen_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/10.png","10 / 19 / 4","4","11","3","0.4","947","6","8","1","0.8","SMGs","Spectre","1","126"
"Haven","10/04/20, 4:55 AM","35m 44s","Team 1","im tired","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/omen_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/10.png","26 / 18 / 6","11","10","4","1.1","2007","15","8","2","1.9","Assault Rifles","Vandal","25","4313"
